objectname,objectid,rating,baverage,average,avgweight,rank,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,imageid,year,language,other,itemtype
6 nimmt!,432,0,6.76346,6.88929,1.2216,570,6 nimmt!,2,10,45,45,45,1994,"4,5,6,7,8,9,10","5,6",8+,No necessary in-game text,,,,,standalone
7 Wonders,68448,0,7.7249,7.81365,2.3426,40,7 Wonders,2,7,30,30,30,2010,"3,4,5,6,7",4,10+,No necessary in-game text,,,,,standalone
7 Wonders Duel,173346,0,8.00983,8.15505,2.2385,9,7 Wonders Duel,2,2,30,30,30,2015,2,2,10+,No necessary in-game text,,,,,standalone
Abalone,526,0,6.23808,6.44459,2.2136,1376,Abalone,2,2,30,30,30,1987,2,2,8+,No necessary in-game text,,,,,standalone
Above and Below,172818,0,7.31528,7.61209,2.5455,145,Above and Below,2,4,90,90,90,2015,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Abraca...what?,163930,0,6.0536,6.61204,1.6852,1867,Abraca...what?,2,5,30,30,20,2014,"3,4,5",4,8+,No necessary in-game text,,,,,standalone
Acquire,5,0,7.2087,7.35672,2.5078,199,Acquire,2,6,90,90,90,1964,"3,4,5,6",4,12+,No necessary in-game text,,,,,standalone
The Adventurers: The Temple of Chac,43868,0,6.37705,6.61287,1.6667,1067,The Adventurers: The Temple of Chac,2,6,45,45,45,2009,"2,3,4,5,6","4,5",8+,No necessary in-game text,,,,,standalone
The Agents,141932,0,5.97725,6.40363,2.369,2127,The Agents,2,5,40,40,20,2013,"2,3,4,5",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Agents of SMERSH,111105,0,6.39303,7.07204,2.5169,1033,Agents of SMERSH,1,4,90,90,90,2012,"1,2,3,4",3,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Agricola,31260,0,7.9357,8.03379,3.6323,15,Agricola,1,5,150,150,30,2007,"1,2,3,4,5","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Agricola: Family Edition,205418,0,6.21349,7.36861,2.4762,1421,Agricola: Family Edition,1,4,45,45,45,2016,"1,2,3,4",3,8+,No necessary in-game text,,,,,standalone
Akrotiri,154458,0,6.74212,7.35497,2.6634,587,Akrotiri,2,2,45,45,45,2014,2,2,12+,No necessary in-game text,,,,,standalone
Al Cabohne,980,0,5.71986,5.96311,1.7589,3755,Al Cabohne,1,2,60,60,60,2000,"1,2",2,10+,No necessary in-game text,,,,,standalone
Alchemists,161970,0,7.51556,7.73656,3.8144,76,Alchemists,2,4,120,120,120,2014,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Alhambra,6249,0,6.94213,7.03539,2.1166,390,Alhambra,2,6,60,60,45,2003,"2,3,4,5",3,8+,No necessary in-game text,,,,,standalone
Alibi,1417,0,5.45809,5.42758,1.8163,13951,Alibi,3,10,45,45,30,1993,"3,4,5,6",4,8+,No necessary in-game text,,,,,standalone
Alien Artifacts,181293,0,6.09306,7.06069,3,1745,Alien Artifacts,2,5,60,60,60,2017,"2,3","2,3",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Alien Frontiers,48726,0,7.31178,7.48359,2.5703,147,Alien Frontiers,2,4,90,90,90,2010,"2,3,4","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Amun-Re,5404,0,7.12004,7.35629,3.0733,255,Amun-Re,3,5,90,90,90,2003,"4,5",5,12+,No necessary in-game text,,,,,standalone
Android,39339,0,6.42779,6.73561,3.9516,983,Android,3,5,180,180,180,2008,"2,3,4",3,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Android: Netrunner,124742,0,7.76613,7.94459,3.3541,34,Android: Netrunner,2,2,45,45,45,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Apples to Apples,74,0,5.80766,5.90988,1.1661,3025,Apples to Apples,4,10,30,30,30,1999,"4,5,6,7,8,9,10","6,7,8",10+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
AquaSphere,159508,0,7.00333,7.34558,3.694,336,AquaSphere,2,4,100,100,100,2014,"2,3,4",4,12+,No necessary in-game text,,,,,standalone
Archer: Once You Go Blackmail...,198522,0,6.03462,7.20566,1.2308,1929,Archer: Once You Go Blackmail...,2,4,30,30,20,2016,"3,4",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Arkham Horror,15987,0,7.15855,7.32582,3.5505,228,Arkham Horror,1,8,360,360,120,2005,"1,2,3,4,5,6",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Arkham Horror: The Card Game,205637,0,7.89836,8.2935,3.1756,18,Arkham Horror: The Card Game,1,2,120,120,60,2016,"1,2",2,14+,Extensive use of text - massive conversion needed to be playable,,,,,standalone
Asante,136056,0,6.27698,6.97739,2.0167,1283,Asante,2,2,40,40,40,2013,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,standalone
Assault of the Giants,201455,0,5.78711,7.05266,3.6667,3189,Assault of the Giants,3,6,60,0,60,2017,"3,4,5,6","4,5",12+,,,,,,standalone
Automania,176544,0,6.59526,7.40657,2.75,739,Automania,2,4,90,90,60,2015,"2,3,4",4,12+,No necessary in-game text,,,,,standalone
Azul,230802,0,7.39651,7.96173,1.9029,111,Azul,2,4,45,45,30,2017,"2,3,4",2,8+,No necessary in-game text,,,,,standalone
B-Sieged: Darkness & Fury,177414,0,5.63013,7.14961,3,0,B-Sieged: Darkness & Fury,1,6,90,90,60,2016,,,,,,,,,expansion
B-Sieged: Sons of the Abyss,164865,0,5.88776,6.74126,2.9048,2558,B-Sieged: Sons of the Abyss,1,6,90,90,60,2016,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Backwords,9475,0,5.46224,4.87424,1.4,13850,Backwords,3,8,45,45,45,1988,,,,,,,,,standalone
Backyard Builders Treehouse,158742,0,5.68614,5.86731,1.0685,4159,Backyard Builders Treehouse,2,5,10,10,5,2014,"3,4,5","3,4",6+,No necessary in-game text,,,,,standalone
Backyard Builders Treehouse,158742,0,5.68614,5.86731,1.0685,4159,Backyard Builders Treehouse,2,5,10,10,5,2014,"3,4,5","3,4",6+,No necessary in-game text,,,,,standalone
Bad Beets,175458,0,5.54673,5.87973,1.3636,8428,Bad Beets,2,5,15,15,15,2015,"2,3,4,5",3,,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Balderdash,163,0,6.18887,6.41389,1.4186,1487,Balderdash,2,6,60,60,60,1984,"4,5,6","5,6",12+,Unplayable in another language,,,,,standalone
Bananagrams,27225,0,6.17389,6.34547,1.373,1525,Bananagrams,1,8,15,15,15,2006,"2,3,4,5,6","3,4,5",8+,No necessary in-game text,,,,,standalone
BANG!,3955,0,6.41535,6.54357,1.6381,1005,BANG!,4,7,40,40,20,2002,"5,6,7",7,10+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
BANG! The Dice Game,143741,0,6.87734,7.02334,1.2875,459,BANG! The Dice Game,3,8,15,15,15,2013,"5,6,7,8","6,7",8+,Some necessary text - easily memorized or small crib sheet,,,,,standalone
Battle Sheep,54137,0,6.31214,6.72575,1.5109,1203,Battle Sheep,2,4,15,15,15,2010,"2,3,4",4,6+,No necessary in-game text,,,,,standalone
Battlefold,229244,0,5.5514,6.74508,2,8124,Battlefold,2,4,35,35,25,2017,"3,4",4,8+,No necessary in-game text,,,,,standalone
